0,index,helpfulness,review_title,total_hours,diff_date,text_content,user_name,game_count,comment_count,xp,review_count,friend_count
0,0,81,推荐,0.7,34,20190617更新所谓官方，居然恬不知耻的跑到这里来威胁评测者，不仅不懂法律而且恶意威胁，这种强盗式的逻辑相信各位都看到了我已经将目前的情况上交给steam官方。建议贵方留一下地址和邮箱，我会考虑往贵方发送律师函，起诉对我的恐吓以及威胁，我们法院见。--------------------------------分割线----------------------------------------------------------20190122更新哈哈哈哈~所谓的官方来回复了啊，大家看看所谓官方的嘴脸，我就不说了，能在各个平台被所有人diss，也是极品。他提的人我不认识也不想去了解，本人大部分时间在美服玩跟九和玩家交集并不多，不过从这里也请大家看看所谓的酷派天空是什么嘴脸，请问诸位你们对这样的运营放心吗？顺带一提我基本不可能再回坑了，Navyfield是我青春的回忆，但是这一切让某些人给毁了，这可能是我最后一次修改回答了，我这里以前北美Navyfield MOD（管理员）身份正式声明：为了避免大家的财产受到损失，不建议所有玩家入坑所谓的酷派大海战（舰队使命）--------------------------------分割线----------------------------------------------------------20181112更新介于美服与国内某服已经合并，以及某运营商劣迹斑斑的事迹，故不再推荐，如果需要知道详情建议去大海战吧看看情况，如果想玩海战，那么WOWS或者WT都可以选择，至少这两家的还是正规的游戏运营商，Navy Field这款游戏看来只能留在广大玩家记忆中了。-----------------------------------------------------2017分割线---------------------国服03年入坑，美服11年入坑，做过两年美服MOD（GM），贴吧名仙剑之月光疾风如果你只想看这游戏的优缺点并考虑入不入坑，那么可以跳转2，想看一个老玩家得碎碎念的可以无视1.碎碎念    笔者初中时候入的坑，然而一张月卡还没玩完就被拉进万恶的军训从而进入了高考监狱，然后大学时候回坑，11年年初赶在和服之后进驻Nebraska服务器，见证过最早华夏-Iron联盟兴盛，也经历15年GM疯狂ban号自己玩了多年的号被ban（当然后来解封了）。当过两年mod，处理过Chinglish和中文的ticket，帮过国人打港，也打过国人的港，见过国人联合打港/比赛-国人在贴吧/QQ撕逼-国人联合打港/比赛-国人在贴吧/QQ撕逼-国人联合打港-国人在贴吧/QQ撕逼这种循环，加过各种乱七八糟得美国人，菲律宾人，波兰人，日本人的舰队，拿过NavyField官方的水晶纪念杯，结交了很多国内外朋友，跟他们交换过skype和qq，很多人已经失联了，但是仍有很多朋友今天还一起玩别的游戏。不过我还是喜欢当一匹独狼，至少每天不用被QQ群轰炸）笑    没错 这就是NavyField。2.我适不适合这游戏     如果你不喜欢WOWS那种3D模式，同时愿意花一点点时间来研究，那么这游戏适合你，当然，这个游戏同样既不历史，也不真实（想象一下Ki-84在航空战列舰Atago上起降，嗯，这完全是另一个次元），不过不乏乐趣，尤其是在玩惯了MOBA的今天，享受一下10+vs10+或许不错，配船配兵也比WOWS自由不少。当然，不晓得现在crash改进了没有，这个游戏毕竟已经十几年了，如果你能忍受交战过程中正乘胜追击，然而一发客户端crash且无法断线重连GG，那或许真适合你。    另外，这游戏人已经不怎么多了，1个GB+2个bliz房，当然找不到房间的同学建议点一下中间偏上的图标，然后选择battle area（area 12，然而其实并没有多少人）考虑到之前mod无差别封禁已经寒了无数老玩家的心，虽然现任的mod确实正常了，不过对于所有想入坑的同学，还是务必要提起这段黑历史。    如果你要问我本人最近会不会入坑，那我只能说“不会”。很多东西终将过去，人，和游戏，都是一样的。    但是我还是会点推荐，只为那些青春岁月的回忆。,月光疾风,92,4,0,0,0
1,1,19,不推荐,11.2,1098,客服的态度仿佛我杀了他妈,さに様,78,0,50,8,10
2,2,13,不推荐,41.4,1226,论坛上那是什么狗币客服   天天怼玩家  有你吗这时间还不如多修修你的BUGsteam上面的客服倒是很客气  但是没啥用啊,patriceent,2,0,0,1,5
3,3,22,推荐,29.4,52,"这是一篇带有主观看法的评测。 这是一款出色的海战游戏，也是本世代海战游戏的先驱者和奠基人。 Navy Field，国内的大海战II，突然一天打开steam收到了海2的推送，也是十分惊喜的。 首先，这是一款老游戏。 首先，这是一款老游戏。 首先，这是一款老游戏。NF作为一款出色的海战游戏\很多人的童年\青年回忆，但首先，他是个十分古老的游戏，古老到从他的画面的像素颗粒感和非常不友善的引导及界面就可以观察出来。（习惯之后你会感觉其实这样的界面其实很舒服）在这款游戏的黄金时代过去10多年后，还能保持美服的运营和活跃（能轻易地发起大型对战），已经堪称奇迹，与此同时，NF美服GM支持中文NF美服GM支持中文正如前文所说，NF也就是国内曾经由九合天下代理的大海战2，因此大部分中文玩家都是来自国服的老玩家（也有一些来自世界各地其他地区服务器的老NF玩家）。对于老玩家来说，游戏的评测已经不重要了，因为海2的存在就已经很令人感到满足了。这篇评测主要面向新玩家，对于 大部分 新玩家来讲，这款游戏不能满足你们的以下要求： 1.画面  2.画面  3.画面 4.在最新操作系统（windows10等）上的运行稳定性4.在最新操作系统（windows10等）上的运行稳定性4.在最新操作系统（windows10等）上的运行稳定性5.不支持原生全屏6.上手难度7.新手引导8.友善、现代的官方网站和社区布局9.快速获得大型舰艇（大和，衣阿华等）10.和现今网游截然不同的水兵（乘员）系统11.历史考证12.细节的真实度13.大型舰艇对于小型船只的平衡（NF中小船是没有高级科技树的，以120级max为例，驱逐基本在20,30级就到头了）14.第一\三人称射击但NF在其a.音乐b.系统综合度c.游戏复杂性d.数值多样性e.战术策略性（伪上帝视角，类似WOWS航母）f.自由度上面，都有着非常出色的表现。但注意，这些系统的确出色，然而在用户接受度和体验优化上，战舰世界等游戏在这方面的升级、改进使得其变得更人性化，但失去了自由度。比如在NF中，你可以非常高度的自定义舰艇武装，包括大船扛小炮（有国家限制），自定义装甲、引擎（CL带CV引擎）等。在WOWS等游戏中，变成了指定船体或者非常有限的选择，虽然这让游戏变得简单。同理，航母也可以自定义每队飞机的数量等等。这方面的自由度并不适合所有玩家这方面的自由度并不适合所有玩家WOWS、九合自制的《海战传奇》、NF的续作NF2（美服又要停运了，又），WT海战模式，搜狐畅游的《海战世界》等游戏都一定程度借鉴了NF的系统诸元，同时也对其进行优化，在这方面，NF本身的存在并不是一项优势或特点，而是一种先行者的足迹与丰碑，在2017年看来，这依然是一款出色的游戏，但却不是一款适合（大部分人）玩的游戏。甚至部分win10玩家还要使用虚拟机来玩。（笑）然而如果你想体验高自由度的舰艇武装快节奏、需要即兴规划的航母战术战列舰一击秒杀的快感给自己找虐海战网络游戏中堪称经典的音乐亦或仅仅是对于这款传奇老游戏和海战网游先驱者的    敬仰之情那么我会向你推荐 大海战II NavyField  这是一款出色的海战游戏 也是我个人最喜欢的海战游戏。我只是想再带着BGM看一下那个闪着绿圈红圈的母港界面而已。 谢谢",Rhonin_Seiei@上次在线：10天以前,289,1,500,6,46
4,4,14,推荐,20.6,26,虽然在出潜艇后我弃坑了，但是不得不说，这是永远永远永远的经典。。。我的童年就是这游戏陪伴我度过的。,方方小次郎,107,0,100,11,32
5,5,14,不推荐,0.9,410,这个游戏的脑残运营商把玩家称之为”犯罪分子“和”犯罪团伙“，因为和代理商的利益矛盾封了所有9月充值的账号--然后国服自成一系！并让玩家继续给他充等额的钱才能解封（我们群参加活动最多冲五万多 三万多一两万的都被封了，几千的就不用说了。）并且还在他们论坛里公然嘲讽玩家。真是谁玩谁傻逼,愤怒火花,52,0,0,0,0
6,6,8,不推荐,0.1,894,注册这个游戏的账号需要的个人信息太多了，我不希望把我的个人信息交到这个游戏的商家那里。因为我没有这个游戏的账号导致我无法玩到这个游戏，所以我要打差评。,堕落黑骑士,92,0,500,187,149
7,7,9,不推荐,0.7,1095,一看是酷派天空...啧啧 不敢碰不敢碰.. 玩过GTASA的 都知道 酷派天空的黑暗,BlackCat,307,0,300,68,95
8,8,7,不推荐,0.4,434,这个游戏，骗你的个人信息，骗到身份证号码，电子邮箱号，姓名，注册账号后，是激活不了游戏的，所以玩不的，STEAM协助的骗子诈骗,wodetiankong1200,26,0,0,0,0
9,9,10,推荐,0.3,27,"我的测评主要面向原中国服务器玩家，中国玩家一度是全球海战最大的玩家群体，由于代理商九合天下的运营管理失误，国服玩家流失严重，希望更多的中国玩家在看到我的测评之后能回归海战，在美服重拾当年的热血与激情。美服与之前的国服相比有以下几点不同：1.美服全部路线船都能用海币购买（包括bb6，即传奇战舰，售价为5000万海币，2000万海点）2.美服的数据与国服有很大不同，例如国服中损害游戏平衡的意大利船的数据已经不太突出，水兵上限也与国服不同（详见美服官网），这意味着美服的平衡性要好于国服。3.美服有极为负责且高效的管理团队，负责与玩家沟通，发布信息，处理举报与求助。任何违反游戏规则的行为，例如乱踢人，人身攻击，都会得到妥善处理。4.美服没有尖兵学院，不需要耗费大量时间和金钱调整水兵属性。5.美服的舰船更多，例如pss,ebb,ecv,bb7,都是国服中没有的。这意味着美服的可玩性大大提升。6。美服已经取消交易系统，但是不要担心新帐号的启动资金，美服调高了初始海币和黄兵属性。暂时想到这么多，以后再补充，祝大家生活愉快，事事顺心。game ID：ssn22（i want to get the IJN ecv）",ssnx22,22,1,0,1,1
